production-class,test-method,entropy
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test00,-0.0
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test01,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test02,2.1972245773362196
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test03,2.5649493574615376
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test04,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test05,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test06,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test07,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test08,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test09,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test10,1.0986122886681096
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test11,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test12,1.0986122886681096
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test13,1.0397207708399179
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test14,1.945910149055313
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test15,1.6674619334292948
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test16,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test17,1.6094379124341005
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test18,2.2718685126965625
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test19,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test20,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test21,1.3862943611198906
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test22,1.0986122886681096
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test23,0.9502705392332347
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,test24,1.6094379124341005
