TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
org.objectweb.asm.jip.Frame,BRANCH,MOSA,703,702,15,477,93,47076,4786,4787,234800,164,164,1257,1257,1000,0.6785206258890469,0.23984731272086474
net.sourceforge.squirrel_sql.client.session.FileManager,BRANCH,MOSA,70,60,17,10,269,50110,13481,13482,203109,6,6,14,14,1000,0.14285714285714285,0.9241962407465937
glengineer.blocks.HorizontalBlock,BRANCH,MOSA,72,64,20,57,1328,440942,69516,69517,230581,13,13,76,76,1000,0.7916666666666666,1.4868298984554889
weka.attributeSelection.BestFirst,BRANCH,MOSA,170,150,33,160,683,353786,35283,35284,236496,43,43,208,208,1000,0.9411764705882353,1.4378386271276264
weka.experiment.RemoteExperiment,BRANCH,MOSA,136,108,37,91,789,314816,41046,41047,205047,19,19,123,123,1000,0.6691176470588235,2.59887211082172
de.huxhorn.lilith.swing.MainFrame,BRANCH,MOSA,631,544,163,11,107,46661,5630,5631,207190,4,4,13,13,1000,0.017432646592709985,0.9678002527269727
freemind.modes.common.actions.FindAction,BRANCH,MOSA,110,98,20,2,250,21121,12109,12110,205274,2,2,2,2,1000,0.01818181818181818,0.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,BRANCH,MOSA,77,50,29,72,1381,1067271,70745,70746,185095,23,23,79,79,1000,0.935064935064935,1.4629748211089497
org.gudy.azureus2.pluginsimpl.local.update.UpdateInstallerImpl,BRANCH,MOSA,78,70,15,52,67,21771,3401,3402,219032,15,15,90,90,1000,0.6666666666666666,1.5649295033967776
corina.Sample,BRANCH,MOSA,110,94,39,88,1507,394626,78929,78930,188954,39,39,189,189,1000,0.8,1.1474574428801314
nu.staldal.lagoon.core.EntryWithSource,BRANCH,MOSA,65,60,11,0,0,345,50,51,6157,0,0,0,0,1000,0.0,NaN
net.sourceforge.schemaspy.view.StyleSheet,BRANCH,MOSA,58,54,17,56,1524,182703,40292,40293,183959,22,22,64,64,1000,0.9655172413793104,1.0418926253724181
net.sourceforge.squirrel_sql.fw.gui.TablePopupMenu,BRANCH,MOSA,78,50,45,35,751,314279,39300,39301,194157,5,5,26,26,1000,0.44871794871794873,3.0331682906500665
com.liferay.portal.lar.LayoutImporter,BRANCH,MOSA,297,294,13,17,459,133494,19022,19023,198977,7,7,66,66,1000,0.05723905723905724,0.7513060367131699
